acc,Acholeplasmataceae,Acidaminococcaceae,Aerococcaceae,Bacteroidaceae,Clostridiaceae,Clostridiales Family XIII. Incertae Sedis,Coriobacteriaceae,Eggerthellaceae,Enterobacteriaceae,Enterococcaceae,Erysipelotrichaceae,Eubacteriaceae,Flavobacteriaceae,Hominidae,Lachnospiraceae,Lactobacillaceae,Peptoniphilaceae,Peptostreptococcaceae,Plakinidae,Porphyromonadaceae,Prevotellaceae,Rikenellaceae,Ruminococcaceae,Streptococcaceae,Syntrophomonadaceae,Veillonellaceae,class
SRR755925,0.0,24.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,6.0,0.0,182.0,2.0,1.0,5.0,46.0,1
SRR756009,0.0,12.0,0.0,432.0,129.0,0.0,134.0,48.0,0.0,0.0,23.0,0.0,0.0,0.0,2.0,0.0,0.0,81.0,0.0,4.0,0.0,95.0,8.0,1.0,0.0,1.0,1
SRR756010,0.0,3.0,0.0,936.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,246.0,0.0,0.0,6.0,0.0,1
SRR756049,0.0,4.0,0.0,271.0,50.0,0.0,156.0,4.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,12.0,0.0,37.0,9.0,0.0,0.0,1.0,1
SRR756069,1.0,22.0,0.0,1329.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,2.0,209.0,0.0,0.0,0.0,0.0,1
SRR756070,0.0,45.0,0.0,132.0,310.0,0.0,0.0,2.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,266.0,1.0,0.0,0.0,1.0,1
SRR756071,0.0,0.0,0.0,600.0,18.0,0.0,8.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,1.0,556.0,3.0,3.0,0.0,79.0,1
SRR756091,0.0,0.0,0.0,2223.0,120.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,0.0,0.0,0.0,496.0,1.0,0.0,0.0,117.0,1
SRR756092,0.0,6.0,0.0,1353.0,20.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,332.0,0.0,0.0,0.0,0.0,1
SRR756093,0.0,7.0,0.0,779.0,150.0,0.0,19.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,131.0,2.0,0.0,0.0,0.0,1
SRR756116,0.0,0.0,0.0,373.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,1
SRR756118,0.0,0.0,0.0,3375.0,5.0,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,4.0,0.0,0.0,3.0,37.0,2.0,0.0,0.0,50.0,1
SRR756149,0.0,0.0,0.0,2594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,41.0,6.0,0.0,0.0,2.0,1
SRR756186,0.0,0.0,0.0,2235.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,591.0,2.0,0.0,1.0,101.0,1
SRR756230,0.0,3.0,0.0,237.0,0.0,0.0,27.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,148.0,2.0,0.0,3.0,0.0,1
SRR756241,0.0,1.0,2.0,540.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,8.0,0.0,159.0,3.0,0.0,0.0,0.0,1
