acc,Bacteroides plebeius,Faecalibacterium prausnitzii,Homo sapiens,Odoribacter sp. AF15-53,Oribacterium sp. oral taxon 108,Streptococcus marmotae,Streptococcus massiliensis,class
SRR9160234,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
SRR9160241,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
SRR9160242,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
SRR9160247,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0
SRR9160251,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0
SRR9160252,0.0,0.0,0.0,186.0,0.0,0.0,0.0,0
SRR9160259,0.0,0.0,0.0,23.0,0.0,0.0,0.0,1
SRR9160260,0.0,0.0,0.0,13.0,0.0,0.0,0.0,1
SRR9160273,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SRR9160294,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0
SRR9160300,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1
SRR9160311,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
SRR9160324,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
SRR9160327,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
SRR9160341,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
SRR9160344,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
SRR9160356,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
SRR9160357,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
